timestamp,event_type,side,price,quantity,trend_strength,volume_ratio,capital_used,stop_loss,take_profit,fee,capital_after,rsi,adx,ema_fast,ema_slow,exit_reason,gross_pnl,net_pnl,funding_cost
355,ENTRY,short,4590.5435800000005,0.004702972452774318,STRONG,3.383156910656805,7.199999999999999,4622.991722857143,4132.452151428573,0.00863568,29.99136432,27.460927653138555,50.54219593229125,4665.955210738108,4677.75595637576,,,,
2025-10-10 15:30:00,EXIT,short,4130.385925352859,,,,,,,,32.15418305724824,,,,,TAKE_PROFIT,2.1641087737387443,2.1628187372482395,-0.00648
1463,ENTRY,long,3908.25315,0.005926583160847537,STRONG,1.754664365655057,7.717003933739577,3899.03065,4038.4531500000003,0.009265034922847738,32.14491802232539,64.82905982905986,50.56418680805178,3882.2748455871442,3880.3423708343835,,,,
2025-10-19 04:15:00,EXIT,long,3897.081134675,,,,,,,,32.069467594255826,,,,,STOP_LOSS,-0.06621187789787472,-0.07545042806956331,0.0
1559,ENTRY,long,4028.91345,0.005733943397617074,STRONG,1.5797512517637615,7.696672222621398,4010.5662,4287.9334499999995,0.009240624670479251,32.060226969585344,85.31867520178106,49.11313977670644,3974.1192235282097,3968.9553847101092,,,,
2025-10-20 15:45:00,EXIT,long,4008.5609169000004,,,,,,,,31.933563085008196,,,,,STOP_LOSS,-0.11670027279352577,-0.12666388457714972,0.0007696672222621398
1699,ENTRY,long,4023.2506199999993,0.005717680471995181,STRONG,3.8645116712342538,7.664055140401967,3994.008798571428,4436.076334285713,0.009201464601566602,31.92436162040663,75.55837832116006,39.61250038593358,3917.606142519541,3910.011877267795,,,,
2025-10-21 17:15:00,EXIT,long,3992.011794172143,,,,,,,,31.73661797685083,,,,,STOP_LOSS,-0.17861362440399406,-0.18774364355579906,0.0
1730,ENTRY,short,3911.0435,0.003163118070782475,WEAK,1.143352160955985,4.125760336990608,3934.0675714285717,3585.997785714286,0.004948436948186536,31.731669539902644,20.817346820137374,57.7912695710383,3954.528706602562,3958.5268029884223,,,,
2025-10-23 16:45:00,EXIT,short,3932.1005376428575,,,,,,,,31.66215144447917,,,,,STOP_LOSS,-0.06660589628526863,-0.06951809542347397,-0.002062880168495304
2151,ENTRY,long,3953.545785,0.003124894425088478,WEAK,1.3748614465803881,4.1160796877822925,3949.3977849999997,4012.1057849999997,0.00494176527315142,31.65720967920602,77.51222161868533,49.89894901582407,3944.5717966792527,3943.6804862706126,,,,
2025-10-26 11:30:00,EXIT,long,4010.0997321075,,,,,,,,31.828922337920233,,,,,TAKE_PROFIT,0.17672511403297644,0.17171265871421185,0.0
2366,ENTRY,long,4156.026975,0.002988307445151938,WEAK,2.891102572347435,4.137759903929631,4144.568367857142,4317.7955464285715,0.0049677945406579145,31.823954543379575,71.01480836236951,28.32444919291828,4125.757866416746,4122.40909541929,,,,
2025-10-28 14:00:00,EXIT,long,4142.496083673213,,,,,,,,31.778568459332856,,,,,STOP_LOSS,-0.04043446329137738,-0.04538608404671874,0.0
2605,ENTRY,long,3851.1045899999995,0.003219813492520437,WEAK,1.1604951161780355,4.131213899713272,3838.0006257142854,4036.1017328571415,0.004959935407995754,31.77360852392486,76.56375623090524,65.2443511131492,3801.2656712730595,3797.7795649182935,,,,
2025-10-31 02:00:00,EXIT,long,3836.0816254014285,,,,,,,,31.720296792862374,,,,,STOP_LOSS,-0.04837114411213571,-0.05331173106248661,0.0
2793,ENTRY,short,3864.6367150000005,0.0031994547490970878,WEAK,1.7084392735323655,4.1236385830721085,3870.051822142858,3788.188143571428,0.004945892116536689,31.715350900745836,42.33820459290167,26.581555235116035,3873.704645722562,3874.354201969365,,,,
2025-11-02 00:45:00,EXIT,short,3868.116796231787,,,,,,,,31.699266192460048,,,,,STOP_LOSS,-0.01113436242428214,-0.016084708285788542,-0.0
2895,ENTRY,short,3835.5612600000004,0.005947515468112208,STRONG,1.8652377910430415,7.6078238861904115,3851.3755100000003,3612.301260000001,0.009124823969096783,31.690141368490952,44.6743138058173,32.429333603279176,3862.0941669757335,3864.934318252201,,,,
2025-11-03 15:30:00,EXIT,short,3610.4951093700015,,,,,,,,33.02089717289575,,,,,TAKE_PROFIT,1.3385844122203907,1.3307558044048011,-0.0007607823886190412
3680,ENTRY,short,3541.72825,0.00670948101156623,STRONG,2.186946491329125,7.92501532149498,3555.5984285714285,3345.9139642857144,0.009505263376601078,33.01139190951915,22.886273209548918,38.530823432127406,3572.840792571507,3574.9179723215993,,,,
2025-11-11 06:30:00,EXIT,short,3553.820629357143,,,,,,,,32.920720603025266,,,,,STOP_LOSS,-0.0811335896814052,-0.09067130649387885,-0.0
3817,ENTRY,short,3394.3219900000004,0.0037806258606191525,WEAK,1.4740637877701162,4.279693678393285,3423.1205971428576,2987.7534185714285,0.005133064597864907,32.9155875384274,20.863970588235432,58.41059206699556,3483.437021636254,3489.267710374998,,,,
2025-11-12 17:30:00,EXIT,short,3421.409036844286,,,,,,,,32.80800752164631,,,,,STOP_LOSS,-0.1024059897873095,-0.10758001678108933,-0.0
4186,ENTRY,short,3174.142135,0.0074382159111717125,STRONG,3.632680569478186,7.873921805195114,3189.6200278571428,2955.6307064285716,0.009443981813151021,32.79856353983316,32.966629996332856,44.91698627308811,3194.487994741113,3196.2370337633783,,,,
2025-11-17 04:15:00,EXIT,short,3188.0252178432143,,,,,,,,32.68660027635294,,,,,STOP_LOSS,-0.10326536770051085,-0.11196326348022256,-0.0007873921805195115
4288,ENTRY,short,3122.0481950000003,0.0040811029890983975,WEAK,1.2041641238158094,4.249258035925882,3138.158730714286,2894.605337857143,0.005096560088289503,32.68150371626465,15.357893774568183,37.38147651101149,3165.578268432466,3168.884835203436,,,,
2025-11-17 14:30:00,EXIT,short,3136.589651348929,,,,,,,,32.61703823713252,,,,,STOP_LOSS,-0.05934518097145588,-0.06446547913213396,-0.0
4439,ENTRY,short,3071.473495,0.0041394739725811765,WEAK,1.329669729308853,4.240214970827227,3085.244102142857,2877.0649235714295,0.005085713836010176,32.61195252329651,33.078215419077935,27.961842937545605,3100.867594715566,3103.7378227339386,,,,
