timestamp,event_type,side,price,quantity,trend_strength,volume_ratio,capital_used,stop_loss,take_profit,fee,capital_after,rsi,adx,ema_fast,ema_slow,exit_reason,gross_pnl,net_pnl,funding_cost
11,ENTRY,short,4489.524115000001,0.002003664479703992,WEAK,1.452101529829048,3.0,4493.842115000001,4252.034115000001,0.0035982000000000006,29.9964018,24.229577694440536,31.617959374383986,4511.600308227324,4511.78189003156,,,,
2025-10-04 01:15:00,EXIT,short,4491.595193942501,,,,,,,,29.988652192789324,,,,,STOP_LOSS,-0.004149747311750572,-0.007749607210675273,-0.0
335,ENTRY,long,4699.748699999999,0.0019152287771611526,WEAK,1.4039141942904496,2.9988652192789327,4693.124699999999,5064.068699999998,0.003600437582266286,29.985051755207056,62.055479763528574,27.149682952970558,4680.463156244679,4679.60330821342,,,,
2025-10-07 10:15:00,EXIT,long,4690.77813765,,,,,,,,29.964277510736416,,,,,STOP_LOSS,-0.01718067916003733,-0.0207742444706396,0.0
354,ENTRY,short,4590.5435800000005,0.0039144769916744,STRONG,2.1603974704056323,5.992855502147283,4603.786722857143,3862.170722857146,0.007187830889275452,29.95708967984714,31.41820272358177,50.722288697919,4677.792601342118,4682.827628064567,,,,
2025-10-07 15:00:00,EXIT,short,4601.484829495715,,,,,,,,29.907055447838957,,,,,STOP_LOSS,-0.04282926941114215,-0.050034232008182064,-0.0
460,ENTRY,long,4541.629679999999,0.0019765157719043407,WEAK,2.3887137589992133,2.990705544783896,4531.333394285713,5107.925394285712,0.0035906410770675454,29.90346480676189,67.67954252396706,22.397037400258633,4480.772894919045,4479.158448125292,,,,
2025-10-08 17:30:00,EXIT,long,4529.067727588571,,,,,,,,29.875055200176547,,,,,STOP_LOSS,-0.024828897067099478,-0.028409606585340183,0.0
495,ENTRY,short,4460.788490000001,0.002008173066679729,WEAK,2.130654512526445,2.987505520017655,4466.867061428572,4126.467061428573,0.0035832141207091752,29.871471986055838,26.049310243615807,24.76101468907307,4501.70350017341,4502.516821468888,,,,
2025-10-10 15:30:00,EXIT,short,4124.40382789786,,,,,,,,30.544872600068206,,,,,TAKE_PROFIT,0.6755186184776812,0.6734006140123702,-0.001195002208007062
1035,ENTRY,long,4127.252594999999,0.002221342963601789,WEAK,1.3312694557631248,3.054487260006821,4106.12516642857,5289.2611664285705,0.0036672174043641892,30.541205382663843,79.16822897137847,27.182977284182076,4037.339129305392,4036.42150963722,,,,
2025-10-14 17:30:00,EXIT,long,4104.072103845356,,,,,,,,30.486066941068646,,,,,STOP_LOSS,-0.051491820919200355,-0.05513844159519686,0.0
1462,ENTRY,long,3908.243145,0.0023413059661009793,WEAK,1.3286519513579964,3.048606694106865,3903.8594307142857,4149.347430714286,0.0036601571969447017,30.482406783871703,62.82874301097536,50.94185850886562,3880.9048293331593,3879.7322635215014,,,,
2025-10-19 04:00:00,EXIT,long,3901.9075009989288,,,,,,,,30.463918879048396,,,,,STOP_LOSS,-0.014833681098799784,-0.018487904823304965,0.0
1558,ENTRY,long,4028.91345,0.004539062635632631,STRONG,2.5433927133715337,6.0927837758096794,4019.9603071428573,4521.336307142856,0.007314996201237102,30.45660388284716,85.23132918037359,48.3101648248898,3967.7654575838105,3966.280910616644,,,,
2025-10-20 10:45:00,EXIT,long,4017.950326989286,,,,,,,,30.399546489538956,,,,,STOP_LOSS,-0.04976230202777552,-0.05705739330820151,0.0
1698,ENTRY,long,4023.2506199999993,0.004535846627837029,STRONG,4.138421309442905,6.0799092979077916,4010.5406199999993,4722.300619999998,0.007299539103068094,30.392246950435887,74.95118246908216,36.45611502953609,3905.460473311072,3904.992362054236,,,,
2025-10-21 15:00:00,EXIT,long,4008.5353496899997,,,,,,,,30.318227900603183,,,,,STOP_LOSS,-0.06674620921332203,-0.0740190498327048,0.0
1729,ENTRY,short,3911.0435,0.0046488465986102515,STRONG,2.287168664750117,6.063645580120637,3921.756928571429,3321.8049285714283,0.007272736508796693,30.310955164094388,19.905503057254137,55.1297620879551,3960.133833613358,3960.8634071920314,,,,
2025-10-21 22:45:00,EXIT,short,3919.7960501071434,,,,,,,,30.262976889085714,,,,,STOP_LOSS,-0.04068926279475836,-0.04797827500867296,-0.0
2150,ENTRY,long,3953.545785,0.004595081482411151,STRONG,1.7494787729640813,6.052595377817143,3951.5552135714283,4063.027213571429,0.007266746010607263,30.255710143075106,74.40585009140685,48.239278283457345,3943.401459487595,3943.19030203676,,,,
2025-10-26 08:00:00,EXIT,long,3949.579435964643,,,,,,,,30.230224990338154,,,,,STOP_LOSS,-0.018225697005147687,-0.02548515273695289,0.0
2365,ENTRY,long,4156.026975,0.0021832394460938255,WEAK,2.2234030612401057,3.0230224990338157,4150.857546428571,4440.3455464285735,0.003629440812339999,30.226595549525815,70.81140350877199,25.13374982885043,4122.300799723772,4120.931915640485,,,,
2025-10-28 13:45:00,EXIT,long,4148.782117655357,,,,,,,,30.20715517728066,,,,,STOP_LOSS,-0.015817258336146504,-0.019440372245152045,0.0
2604,ENTRY,long,3851.094585,0.0023543118524731823,WEAK,1.3941868324810385,3.0207155177280662,3845.009727857143,4185.761727857141,0.003626671050584317,30.20352850623008,83.03252245182664,61.42069457136454,3797.3757419333815,3796.1289349149583,,,,
2025-10-31 01:30:00,EXIT,long,3843.0872229932147,,,,,,,,30.18105754863079,,,,,STOP_LOSS,-0.018851827279617643,-0.02247095759929011,0.0
2709,ENTRY,long,3861.3697199999997,0.0023460184028224916,WEAK,1.18528493977289,3.018105754863079,3857.715434285714,4062.355434285713,0.003623537769288613,30.1774340108615,64.80797636632177,25.11717939654014,3851.5373426452265,3851.1008100606496,,,,
2025-11-01 03:45:00,EXIT,long,3855.786576568571,,,,,,,,30.160717555119376,,,,,STOP_LOSS,-0.013098157235729133,-0.016716455742123455,0.0
2792,ENTRY,short,3864.64671,0.002340108123079262,WEAK,2.2215174774034003,3.0160717555119376,3867.1164242857144,3728.8124242857134,0.0036174764635610182,30.157100078655816,34.9302607640994,23.468911022464102,3874.138818956516,3874.5490673558697,,,,
2025-11-02 00:30:00,EXIT,short,3865.182866073572,,,,,,,,30.152227437143978,,,,,STOP_LOSS,-0.0012546631830038248,-0.004872641511838045,-0.0
2833,ENTRY,short,3857.460305,0.00234380776007172,WEAK,1.2454543489183378,3.015222743714398,3861.904305,3613.0403050000014,0.0036164581588110497,30.148610978985168,24.766550522648387,30.883806029359327,3884.5652693320108,3884.940506153729,,,,
2025-11-02 10:45:00,EXIT,short,3859.9733528475003,,,,,,,,30.139102063739536,,,,,STOP_LOSS,-0.005890101046402676,-0.009508915245632287,-0.0
2886,ENTRY,long,3908.53329,0.002314487510590302,WEAK,2.501689995335981,3.0139102063739536,3903.6784328571425,4175.550432857143,0.0036185005937725695,30.135483563145762,74.4494584837547,22.73254207639787,3868.1316379967493,3866.379856483534,,,,
2025-11-03 00:00:00,EXIT,long,3901.7265936407143,,,,,,,,30.116117350445528,,,,,STOP_LOSS,-0.015754013711946825,-0.019366212700234614,0.0
2894,ENTRY,short,3835.551265,0.0023543728563698635,WEAK,1.2933656170986556,3.011611735044553,3842.9484078571427,3428.7084078571434,0.003612127115012437,30.112505223330515,42.73956496178716,32.25972550454828,3865.02302665739,3866.1859230788214,,,,
2025-11-04 16:45:00,EXIT,short,3426.994053653215,,,,,,,,31.072378507982027,,,,,TAKE_PROFIT,0.9618960086690366,0.9598732846515096,-0.0012046446940178212
3309,ENTRY,short,3293.042655,0.002829314306473328,WEAK,1.7557094190319398,3.107237850798203,3299.009512142857,2964.865512142858,0.0037268210782473647,31.06865168690378,20.393120393120498,23.220558306749393,3337.321003098017,3337.6460336012883,,,,
2025-11-07 09:45:00,EXIT,short,3297.360007386786,,,,,,,,31.052704832892765,,,,,STOP_LOSS,-0.012215146874019952,-0.015946854011016923,-0.0
3340,ENTRY,long,3379.859085,0.0027576502810302116,WEAK,1.4279709626328883,3.1052704832892766,3364.3625135714287,4232.170513571429,0.0037281877422371055,31.04897664515053,73.91728851384352,45.743159284304355,3298.055580465704,3297.6061415104296,,,,
2025-11-08 16:00:00,EXIT,long,3362.6803323146432,,,,,,,,30.997273360337978,,,,,STOP_LOSS,-0.04737299217052272,-0.051703284812549474,0.0006210540966578553
3679,ENTRY,short,3541.7382450000005,0.005248571054181528,STRONG,4.001709451756519,6.199454672067596,3548.6282450000003,3162.7882449999997,0.007435625933677875,30.9898377344043,16.240180446449457,35.47712090866192,3575.2198233685076,3575.925236497991,,,,
2025-11-11 06:15:00,EXIT,short,3546.8539308775007,,,,,,,,30.955541327635363,,,,,STOP_LOSS,-0.026850040818933066,-0.03429640676893851,-0.0
3816,ENTRY,short,3394.36197,0.0027345401430748013,WEAK,1.328679687443351,3.0955541327635365,3407.1225414285714,2692.530541428571,0.003712807626836586,30.951828520008526,17.404904904904896,59.83554901456557,3491.216708124281,3492.5223107984675,,,,
2025-11-12 16:30:00,EXIT,short,3405.4189801578573,,,,,,,,30.917867779907386,,,,,STOP_LOSS,-0.030235838139046765,-0.03396074010113897,-0.0
3864,ENTRY,long,3470.844555,0.0026737002672075016,WEAK,1.5801223709653491,3.091786777990739,3458.906555,4127.434555,0.0037119992056556814,30.91415578070173,62.15556031712031,26.52067215711343,3438.4340283228635,3438.1298161508726,,,,
2025-11-13 13:15:00,EXIT,long,3457.1771017225,,,,,,,,30.87360654640757,,,,,STOP_LOSS,-0.03654267348009791,-0.04054923429416063,0.0003091786777990739
3903,ENTRY,short,3423.8572150000005,0.0027038075309867467,WEAK,1.4328242612324478,3.087360654640757,3431.3772150000004,3010.257215,0.003702980369176124,30.869903566038392,21.873901736135323,33.327842767162394,3482.1168565579987,3484.447019808326,,,,
2025-11-13 14:15:00,EXIT,short,3429.6615263925005,,,,,,,,30.85050056731764,,,,,STOP_LOSS,-0.015693740855233777,-0.019402998720751994,-0.0
4185,ENTRY,short,3174.142135,0.005828675718776655,STRONG,3.904348569260331,6.170100113463528,3181.2715635714285,2782.023563571429,0.007400418076088157,30.84310014924155,35.05676587910398,45.57174183364384,3197.1719941875463,3197.3491575904545,,,,
2025-11-17 04:15:00,EXIT,short,3179.6809277896427,,,,,,,,30.804020000601664,,,,,STOP_LOSS,-0.032283827044325523,-0.03908014863988506,-0.0006170100113463529
4287,ENTRY,short,3122.0481950000003,0.005917003723371675,STRONG,1.5934475121855591,6.160804000120333,3129.0441950000004,2737.2681949999997,0.007389268317744327,30.79663073228392,15.395894428152602,35.42029935468814,3170.2780861621986,3170.842175415821,,,,
2025-11-17 14:15:00,EXIT,short,3127.4796729025006,,,,,,,,30.75709053376368,,,,,STOP_LOSS,-0.032138074972505364,-0.03954019852023869,-0.0
4367,ENTRY,long,3060.80964,0.003016110705829183,WEAK,1.1781132372533627,3.075709053376368,3052.29164,3529.299639999999,0.003692696289483667,30.753397837474196,78.39195979899523,27.272072109850875,3032.0703413805754,3030.416841659616,,,,
2025-11-18 10:15:00,EXIT,long,3050.76549418,,,,,,,,30.719423003148396,,,,,STOP_LOSS,-0.030294255738610873,-0.0339748343257991,0.0
4438,ENTRY,short,3071.48349,0.0029989479082285567,WEAK,1.539374385164673,3.0719423003148396,3078.2052042857144,2701.789204285716,0.0036844875949976195,30.715738515553397,41.44532597447396,27.64719572392905,3104.1989204750994,3105.1467134577724,,,,
2025-11-19 07:45:00,EXIT,short,3076.666101683572,,,,,,,,30.696505428537805,,,,,STOP_LOSS,-0.015542382467608676,-0.01923308701559334,-0.0
4479,ENTRY,short,3060.4789950000004,0.003007485811137567,WEAK,1.8366575167923243,3.069650542853781,3067.0509950000005,2699.018994999999,0.0036817388610988254,30.692823689676704,31.937272901128424,29.79316893027514,3083.0310252434842,3083.14714657872,,,,
2025-11-19 14:45:00,EXIT,short,3065.5174695025007,,,,,,,,30.673982748983327,,,,,STOP_LOSS,-0.015153140576048128,-0.018840940693377373,-0.0
4903,ENTRY,short,2778.23019,0.0066211891011685045,STRONG,1.7607942075381846,6.134796549796666,2784.555332857143,2430.347332857146,0.007358074981826123,30.6666246740015,31.020408163265103,48.14218724469838,2817.279373065483,2817.780498786944,,,,
2025-11-24 00:15:00,EXIT,short,2783.1630551907147,,,,,,,,30.626592101208086,,,,,STOP_LOSS,-0.03266143323829193,-0.04003257279341337,-0.0
4913,ENTRY,long,2842.4305050000003,0.006468106504632102,STRONG,2.2093430710712627,6.1253184202416175,2833.776790714286,3318.3847907142845,0.007354057295342086,30.619238043912745,58.37083708370853,44.385175239786186,2816.1456042810973,2815.643827002373,,,,
2025-11-24 02:45:00,EXIT,long,2832.359902318929,,,,,,,,30.546772311002684,,,,,STOP_LOSS,-0.06513773070700243,-0.07246573291006173,0.0
4941,ENTRY,short,2798.590005,0.003272880150750827,WEAK,1.5253754148584564,3.0546772311002686,2804.885147857143,2452.3571478571453,0.003663779870981663,30.5431085311317,32.550035739813566,25.955574770164276,2828.0870143423335,2828.8082375551558,,,,
