timestamp,event_type,side,price,quantity,trend_strength,volume_ratio,capital_used,stop_loss,take_profit,fee,capital_after,rsi,adx,ema_fast,ema_slow,exit_reason,gross_pnl,net_pnl,funding_cost
163,ENTRY,short,3142.917755,0.0068691584326870175,STRONG,2.6657158737530993,7.199999999999999,3154.8382907142854,2812.8106121428573,0.00863568,29.99136432,49.424095830453815,37.396154313171735,3179.3866342770116,3181.1694892521623,,,,
2025-12-04 15:15:00,EXIT,short,3153.2608715689285,,,,,,,,29.91165171419772,,,,,STOP_LOSS,-0.07104850639972007,-0.07971260580227996,-0.0
210,ENTRY,long,3190.3043549999998,0.003658389809213479,WEAK,1.0977157124350776,3.888514722845704,3182.5600692857142,3404.761497857141,0.004668550776248552,29.906983163421472,77.91055808796332,35.80014953931329,3157.959421741677,3155.6434841572905,,,,
2025-12-05 03:00:00,EXIT,long,3180.9687892510715,,,,,,,,29.86817513530154,,,,,STOP_LOSS,-0.0341531385991216,-0.038808028119930504,0.0
354,ENTRY,long,3056.44746,0.0070394923917539935,STRONG,1.4912707509706835,7.16836203247237,3051.4108885714286,3195.921745714285,0.008606335456186326,29.859568799845356,72.93737574552753,36.14725839079596,3039.008852832061,3037.2670326686043,,,,
2025-12-06 15:00:00,EXIT,long,3049.885183127143,,,,,,,,29.804785844309357,,,,,STOP_LOSS,-0.04619509811905813,-0.05478295553599683,0.0
634,ENTRY,long,3135.94719,0.006846472287311282,STRONG,2.4736967290559915,7.1531486026342455,3129.4142257142857,3316.8600471428563,0.008588070212322675,29.796197774097035,65.93340364622568,28.000678284372487,3118.0591583250384,3116.729189196886,,,,
2025-12-09 13:15:00,EXIT,long,3127.849518601429,,,,,,,,29.73219139725577,,,,,STOP_LOSS,-0.0554404828220698,-0.06400637684126365,0.0
860,ENTRY,long,3235.186785,0.006620292062959563,STRONG,2.4062169383920717,7.135725935341385,3218.2533564285714,3704.112499285714,0.008567152557970865,29.723624244697803,68.39430407057581,50.96414194246827,3210.4051537137725,3206.75248040779,,,,
2025-12-12 00:45:00,EXIT,long,3216.644229750357,,,,,,,,29.59234906364617,,,,,STOP_LOSS,-0.12275713134619838,-0.13127518105163077,0.0
930,ENTRY,short,3229.254565,0.006594660672148753,STRONG,1.8680900576489834,7.102163775275081,3236.4816364285716,3029.1202792857157,0.008518335232064932,29.583830728414107,48.61045690061237,34.623931239255604,3238.445877617499,3239.168474770577,,,,
2025-12-14 23:30:00,EXIT,short,3027.605719146073,,,,,,,,30.91062154344715,,,,,TAKE_PROFIT,1.3298057133370786,1.326790815033041,-0.004971514642692557
1220,ENTRY,short,3032.7828500000005,0.007334689223637065,STRONG,4.011361553345823,7.418549170427315,3048.3471000000004,2601.772850000001,0.008897807875010525,30.90172373557214,7.231370821170955,51.46173749771201,3111.187085216549,3120.691234193282,,,,
2025-12-22 00:15:00,EXIT,short,3046.8229264500005,,,,,,,,30.80390038184511,,,,,STOP_LOSS,-0.10297959743685564,-0.09782335372702901,-0.0140952434238119
1908,ENTRY,short,2998.53998,0.004004453656924439,WEAK,1.2570794048888292,4.004507049639865,3007.615372857143,2747.2214085714277,0.004803005755338054,30.799097376089772,12.581991651758855,40.82552678638118,3029.7562594316996,3034.094621517962,,,,
2025-12-22 22:45:00,EXIT,short,3006.1115651707146,,,,,,,,30.76396218038408,,,,,STOP_LOSS,-0.030320061925582814,-0.035135195705691104,-0.0
2016,ENTRY,long,2963.6010599999995,0.004050458877543716,WEAK,1.2009982176151544,3.9993150834499307,2954.4458099999993,3217.131060000002,0.004801577689189987,30.75916060269489,58.014783526927104,29.452797013823233,2957.6828314828717,2957.1519994112327,,,,
2025-12-23 22:30:00,EXIT,long,2952.9685870949993,,,,,,,,30.711309857295106,,,,,STOP_LOSS,-0.04306639426830114,-0.0478507453997838,0.0
2145,ENTRY,short,2937.380575,0.00752408020050444,STRONG,1.8683904350606932,7.370714365750825,2940.012610714286,2864.4934321428573,0.00884043481028154,30.702469422484825,32.331902718169744,35.186733594671196,2943.5507643058145,2943.7693935193806,,,,
2025-12-25 06:45:00,EXIT,short,2938.542604408929,,,,,,,,30.68488228792543,,,,,STOP_LOSS,-0.008743202468125828,-0.017587134559394618,-0.0
2182,ENTRY,long,2967.9332249999998,0.007447661429421129,STRONG,7.364462043778564,7.364371749102102,2961.9727249999996,3132.993224999999,0.008841664721971983,30.67604062320346,73.19143016137997,31.67733198013925,2937.1598841367563,2935.5053739920213,,,,
2025-12-25 16:00:00,EXIT,long,2960.4917386374996,,,,,,,,30.611799456190315,,,,,STOP_LOSS,-0.05542167095955608,-0.06424116701314424,0.0
2276,ENTRY,short,2902.5779850000004,0.004111046300456339,WEAK,1.783851821347128,3.979533929304741,2910.701127857143,2677.629413571429,0.004773052994808106,30.60702640319551,29.913860610806594,27.825302754972824,2957.0980660195282,2960.2906562992353,,,,
2025-12-26 15:30:00,EXIT,short,2909.245777293215,,,,,,,,30.574830782720333,,,,,STOP_LOSS,-0.0274116028392306,-0.032195620475174394,-0.0
2346,ENTRY,long,2936.96775,0.004062062342108986,WEAK,1.1590912851318653,3.9747280017536433,2935.4086785714285,2980.1420357142856,0.004772058438905423,30.570058724281427,63.562281722932994,30.109726449626425,2932.290252134425,2932.066851054342,,,,
2025-12-27 09:00:00,EXIT,long,2933.9409742321427,,,,,,,,30.552996631958646,,,,,STOP_LOSS,-0.01229495186462029,-0.017062092322779866,0.0
2354,ENTRY,short,2923.03775,0.007522023448456224,STRONG,1.68565945634936,7.3327191916700745,2925.6920714285716,2849.533464285714,0.008794863398489087,30.544201768560157,34.79372033588933,56.74180478188144,2931.518334140388,2931.87555024065,,,,
2025-12-27 11:00:00,EXIT,short,2924.2292253928576,,,,,,,,30.526441014395996,,,,,STOP_LOSS,-0.008962305843334082,-0.017760754164160505,-0.0
