timestamp,event_type,side,price,quantity,trend_strength,volume_ratio,capital_used,stop_loss,take_profit,fee,capital_after,rsi,adx,ema_fast,ema_slow,exit_reason,gross_pnl,net_pnl,funding_cost
11,ENTRY,short,4489.524115000001,0.004408061855348781,STRONG,1.452101529829048,6.6,4493.410315000001,4176.469115000001,0.00791604,29.99208396,24.229577694440536,31.617959374383986,4511.600308227324,4511.78189003156,,,,
2025-10-04 01:15:00,EXIT,short,4491.1636098425015,,,,,,,,29.97693803452486,,,,,STOP_LOSS,-0.007226994677267185,-0.015145925475138093,-0.0
335,ENTRY,long,4699.748699999999,0.0022973767812894262,WEAK,1.4039141942904496,3.597232564142983,4693.7871,5179.988699999998,0.004318837416510066,29.97261919710835,62.055479763528574,27.149682952970558,4680.463156244679,4679.60330821342,,,,
2025-10-07 10:15:00,EXIT,long,4691.44020645,,,,,,,,29.94922025461865,,,,,STOP_LOSS,-0.019087740169261083,-0.023398942489703443,0.0
354,ENTRY,short,4590.5435800000005,0.00430376093398601,STRONG,2.1603974704056323,6.588828456016103,4602.462408571429,3630.4157228571466,0.007902640850145715,29.941317613768504,31.41820272358177,50.722288697919,4677.792601342118,4682.827628064567,,,,
2025-10-07 15:00:00,EXIT,short,4600.161177367143,,,,,,,,29.892006576354913,,,,,STOP_LOSS,-0.041391839827514515,-0.04931103741359123,-0.0
460,ENTRY,long,4541.629679999999,0.002370625455457987,WEAK,2.3887137589992133,3.5870407891625895,4532.363022857142,5288.110394285712,0.004306601171468604,29.887699975183445,67.67954252396706,22.397037400258633,4480.772894919045,4479.158448125292,,,,
2025-10-08 17:30:00,EXIT,long,4530.096841345714,,,,,,,,29.85606426914079,,,,,STOP_LOSS,-0.02734004088753813,-0.031635706042651715,0.0
495,ENTRY,short,4460.788490000001,0.0024082758170231554,WEAK,2.130654512526445,3.582727712296895,4466.259204285715,4020.092061428574,0.004297123618128896,29.85176714552266,26.049310243615807,24.76101468907307,4501.70350017341,4502.516821468888,,,,
2025-10-10 19:15:00,EXIT,short,4018.0820153978602,,,,,,,,30.91584714630332,,,,,TAKE_PROFIT,1.0661592968239109,1.06408000078066,-0.0017913638561484475
1035,ENTRY,long,4127.252594999999,0.0026979860255331744,WEAK,1.3312694557631248,3.7099016575563986,4108.237909285714,5658.99116642857,0.004454107930062211,30.91139303837326,79.16822897137847,27.182977284182076,4037.339129305392,4036.42150963722,,,,
2025-10-14 17:30:00,EXIT,long,4106.183790331071,,,,,,,,30.85011832720797,,,,,STOP_LOSS,-0.05684334057145679,-0.061274711165290416,0.0
1193,ENTRY,short,3990.10395,0.0027820051095400586,WEAK,1.5942612494741293,3.7020141992649562,3997.215492857143,3417.2296642857136,0.004440195830598389,30.845678131377372,45.869056897895476,23.13120098281463,4008.360470116226,4009.366135363482,,,,
2025-10-16 08:45:00,EXIT,short,3995.216885110715,,,,,,,,30.82700803425938,,,,,STOP_LOSS,-0.014224211602755105,-0.018670097117994597,-0.0
1221,ENTRY,short,3952.023,0.002806707863513752,WEAK,1.9440626843091307,3.6992409641111252,3963.8924571428574,2995.8722857142893,0.004436869612354884,30.822571164647023,32.057526366251196,21.284658900206775,4018.203669802888,4020.7058203555293,,,,
2025-10-16 16:45:00,EXIT,short,3961.910510914286,,,,,,,,30.79037183985911,,,,,STOP_LOSS,-0.027751354633704397,-0.032199324787912764,-0.0
1462,ENTRY,long,3908.243145,0.002837611611618512,WEAK,1.3286519513579964,3.6948446207830927,3904.297802142857,4226.062430714286,0.004436030451712181,30.7859358094074,62.82874301097536,50.94185850886562,3880.9048293331593,3879.7322635215014,,,,
2025-10-19 04:00:00,EXIT,long,3902.345653241786,,,,,,,,30.76477168177959,,,,,STOP_LOSS,-0.01673479109253273,-0.021164127627807897,0.0
1558,ENTRY,long,4028.91345,0.005042278007890568,STRONG,2.5433927133715337,6.76824976999151,4020.8556214285713,4678.016307142856,0.008125960673851807,30.756645721105738,85.23132918037359,48.3101648248898,3967.7654575838105,3966.280910616644,,,,
2025-10-20 10:45:00,EXIT,long,4018.845193617857,,,,,,,,30.697773119477496,,,,,STOP_LOSS,-0.050766947733482816,-0.05887260162824123,0.0
1698,ENTRY,long,4023.2506199999993,0.005038378773426891,STRONG,4.138421309442905,6.753510086285049,4011.8116199999995,4944.725619999997,0.00810826420959383,30.689664855267903,74.95118246908216,36.45611502953609,3905.460473311072,3904.992362054236,,,,
2025-10-21 15:00:00,EXIT,long,4009.80571419,,,,,,,,30.613843159225702,,,,,STOP_LOSS,-0.06774052804382513,-0.07582169604220143,0.0
1729,ENTRY,short,3911.0435,0.005163592252769988,STRONG,2.287168664750117,6.735045495029654,3920.685585714286,3134.319928571428,0.008078013566738568,30.605765145658964,19.905503057254137,55.1297620879551,3960.133833613358,3960.8634071920314,,,,
2025-10-21 22:45:00,EXIT,short,3918.725242921429,,,,,,,,30.55800587770007,,,,,STOP_LOSS,-0.0396653882368607,-0.047759267958894014,-0.0
2150,ENTRY,long,3953.545785,0.005103866027751512,STRONG,1.7494787729640813,6.722761293094015,3951.7542707142857,4097.8622135714295,0.008071347208488674,30.54993453049158,74.40585009140685,48.239278283457345,3943.401459487595,3943.19030203676,,,,
2025-10-26 08:00:00,EXIT,long,3949.778393578929,,,,,,,,30.52264261350028,,,,,STOP_LOSS,-0.019228261087246245,-0.02729191699130002,0.0
